user_id,content_id,user_answer,answered_correctly,prior_question_elapsed_time
115,5692,3,1,
115,5716,2,1,37000.0
115,128,0,1,55000.0
115,7860,0,1,19000.0
115,7922,1,1,11000.0
115,156,2,1,5000.0
115,51,0,1,17000.0
115,50,3,1,17000.0
115,7896,2,1,16000.0
115,7863,0,1,16000.0
115,152,2,0,17000.0
115,104,1,0,22000.0
115,108,1,0,23000.0
115,7900,0,1,21000.0
115,7901,1,1,24000.0
115,7971,2,1,22000.0
115,25,1,1,21000.0
115,183,0,0,20000.0
115,7926,1,1,18000.0
115,7927,3,1,17000.0
115,4,1,0,29000.0
115,7984,3,0,20000.0
115,45,2,0,19000.0
115,185,3,0,21000.0
115,55,3,1,22000.0
115,7876,3,1,16000.0
115,6,2,1,20000.0
115,172,1,1,22000.0
115,7898,2,1,22000.0
115,175,0,0,23000.0
115,100,0,1,20000.0
115,7859,3,0,15000.0
115,57,0,1,20000.0
115,7948,0,1,20000.0
115,151,3,1,22000.0
115,167,2,1,19000.0
115,7897,3,0,17000.0
115,7882,2,1,20000.0
115,7962,3,1,17000.0
115,1278,3,1,21000.0
115,2065,2,1,17000.0
115,2064,1,1,17000.0
115,2063,3,0,17000.0
115,3363,1,0,14333.0
115,3365,0,0,14333.0
115,3364,1,1,14333.0
124,7900,0,1,
124,7876,0,0,26000.0
124,175,2,1,29000.0
124,1278,1,0,26000.0
124,2064,2,0,18000.0
124,2063,3,0,18000.0
124,2065,2,1,18000.0
124,3364,2,0,33333.0
124,3365,3,0,33333.0
124,3363,0,0,33333.0
124,2948,2,0,21000.0
124,2947,1,1,21000.0
124,2946,1,0,21000.0
124,2595,0,1,21666.0
124,2593,0,0,21666.0
124,2594,3,0,21666.0
124,4492,3,0,15000.0
124,4120,2,0,32000.0
124,4696,3,0,23000.0
124,6116,3,1,27000.0
124,6173,1,0,14000.0
124,6370,3,0,17000.0
124,6909,0,1,7000.0
124,6910,1,0,7000.0
124,6908,2,0,7000.0
124,6911,2,0,7000.0
124,7218,3,0,6500.0
124,7216,0,0,6500.0
124,7217,3,0,6500.0
124,7219,1,0,6500.0
2746,5273,1,0,
2746,758,0,0,28000.0
2746,5976,3,0,17000.0
2746,236,3,1,24000.0
2746,404,3,0,20000.0
2746,382,0,1,16000.0
2746,405,1,1,16000.0
2746,873,3,1,19000.0
2746,531,0,1,18000.0
2746,775,3,0,18000.0
2746,294,3,1,20000.0
2746,714,3,1,13000.0
2746,297,0,0,13000.0
2746,6808,-1,-1,
2746,297,3,1,16000.0
2746,775,3,0,15000.0
2746,1295,3,1,16000.0
2746,10684,0,1,17000.0
2746,1014,0,0,19000.0
2746,484,0,1,20000.0
5382,5000,0,1,
5382,3944,1,0,24000.0
5382,217,0,1,35000.0
5382,5844,1,0,88000.0
